image,path,label
"[[[ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]
  ...
  [ 3  3  3]
  [ 4  4  4]
  [ 4  4  4]]

 [[ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]
  ...
  [ 4  4  4]
  [ 5  5  5]
  [ 5  5  5]]

 [[ 2  2  2]
  [ 2  2  2]
  [ 2  2  2]
  ...
  [ 5  5  5]
  [ 5  5  5]
  [ 5  5  5]]

 ...

 [[ 3  3  3]
  [ 3  3  3]
  [ 4  4  4]
  ...
  [ 7  9 10]
  [ 9 11 12]
  [ 9 11 12]]

 [[ 3  3  3]
  [ 3  3  3]
  [ 4  4  4]
  ...
  [ 7  9 10]
  [ 9 11 12]
  [ 9 11 12]]

 [[ 3  3  3]
  [ 3  3  3]
  [ 4  4  4]
  ...
  [ 7  9 10]
  [ 9 11 12]
  [ 9 11 12]]]",C:\Users\User\PycharmProjects\detectionAndSegmentation\475_file_train\images\train/00000.jpg,0
"[[[108 114 121]
  [120 126 133]
  [127 130 138]
  ...
  [249 237 227]
  [249 237 227]
  [249 237 227]]

 [[125 131 138]
  [116 122 129]
  [119 122 130]
  ...
  [249 237 227]
  [249 237 227]
  [249 237 227]]

 [[127 132 141]
  [114 119 128]
  [118 120 130]
  ...
  [249 237 227]
  [249 237 227]
  [249 237 227]]

 ...

 [[ 58  74 103]
  [ 56  79 105]
  [ 54  84 111]
  ...
  [ 56  88 107]
  [ 67 106 120]
  [105 151 162]]

 [[ 64  78 106]
  [ 61  83 108]
  [ 52  82 107]
  ...
  [ 55  89 113]
  [ 60  98 116]
  [ 87 130 145]]

 [[ 63  78 104]
  [ 63  83 108]
  [ 44  75  98]
  ...
  [ 51  86 112]
  [ 48  85 107]
  [ 69 109 127]]]",C:\Users\User\PycharmProjects\detectionAndSegmentation\475_file_train\images\train/000044.jpg,1
"[[[ 56  54  53]
  [ 64  62  61]
  [ 56  55  51]
  ...
  [138 149 146]
  [140 152 146]
  [139 151 145]]

 [[ 50  48  47]
  [ 67  65  64]
  [ 66  64  63]
  ...
  [141 152 149]
  [140 152 146]
  [140 152 146]]

 [[ 42  40  40]
  [ 54  52  51]
  [ 51  52  50]
  ...
  [138 149 146]
  [137 149 143]
  [136 148 142]]

 ...

 [[ 73  85 119]
  [ 74  86 120]
  [ 73  85 119]
  ...
  [ 40  24  58]
  [ 35  19  53]
  [ 35  20  52]]

 [[ 75  87 121]
  [ 74  86 120]
  [ 71  83 117]
  ...
  [ 41  25  59]
  [ 35  19  53]
  [ 35  20  52]]

 [[ 75  90 123]
  [ 72  87 120]
  [ 70  85 118]
  ...
  [ 39  23  57]
  [ 34  18  52]
  [ 34  18  52]]]",C:\Users\User\PycharmProjects\detectionAndSegmentation\475_file_train\images\train/000047.jpg,1
"[[[ 26  26  38]
  [ 25  25  37]
  [ 24  24  36]
  ...
  [ 44  47  52]
  [ 44  47  52]
  [ 43  46  51]]

 [[ 26  26  38]
  [ 25  25  37]
  [ 24  24  36]
  ...
  [ 50  54  59]
  [ 47  50  55]
  [ 45  49  54]]

 [[ 26  26  38]
  [ 25  25  37]
  [ 24  24  36]
  ...
  [ 52  59  62]
  [ 44  49  52]
  [ 40  47  50]]

 ...

 [[ 51  50  52]
  [ 49  48  50]
  [ 47  46  48]
  ...
  [118 123 122]
  [112 117 116]
  [108 113 112]]

 [[ 50  49  51]
  [ 49  48  50]
  [ 48  47  49]
  ...
  [118 120 120]
  [112 114 114]
  [110 112 112]]

 [[ 48  47  49]
  [ 49  48  50]
  [ 47  46  48]
  ...
  [111 113 113]
  [106 108 108]
  [104 106 106]]]",C:\Users\User\PycharmProjects\detectionAndSegmentation\475_file_train\images\train/000098.jpg,0
"[[[ 53  54  68]
  [ 53  54  68]
  [ 53  54  68]
  ...
  [ 55  99 230]
  [ 48  97 235]
  [ 51 100 246]]

 [[ 53  54  68]
  [ 53  54  68]
  [ 53  54  68]
  ...
  [ 60 104 235]
  [ 57 106 246]
  [ 55 106 252]]

 [[ 53  53  69]
  [ 53  53  69]
  [ 53  54  68]
  ...
  [ 55 100 235]
  [ 58 108 252]
  [ 54 106 253]]

 ...

 [[ 82  75  78]
  [ 80  73  76]
  [ 82  75  80]
  ...
  [ 30  29  39]
  [ 31  30  40]
  [ 32  31  41]]

 [[ 79  72  75]
  [ 77  70  73]
  [ 80  73  78]
  ...
  [ 30  29  39]
  [ 31  30  40]
  [ 32  31  41]]

 [[ 81  74  77]
  [ 80  73  76]
  [ 82  75  80]
  ...
  [ 30  29  39]
  [ 31  30  40]
  [ 32  31  41]]]",C:\Users\User\PycharmProjects\detectionAndSegmentation\475_file_train\images\train/000101.jpg,0
"[[[207 158 120]
  [209 160 122]
  [211 162 124]
  ...
  [216 154 114]
  [209 147 107]
  [206 144 104]]

 [[208 159 121]
  [209 160 122]
  [212 163 125]
  ...
  [217 156 116]
  [211 149 111]
  [208 147 107]]

 [[209 160 122]
  [210 161 123]
  [212 163 125]
  ...
  [218 159 120]
  [213 153 117]
  [210 151 112]]

 ...

 [[ 60  59  68]
  [ 60  59  68]
  [ 60  59  68]
  ...
  [ 81  84  82]
  [ 72  75  73]
  [ 65  68  66]]

 [[ 61  60  69]
  [ 61  60  69]
  [ 61  60  69]
  ...
  [ 59  62  60]
  [ 61  64  62]
  [ 60  63  61]]

 [[ 61  60  69]
  [ 61  60  69]
  [ 61  60  69]
  ...
  [ 75  78  76]
  [ 92  95  93]
  [ 99 102 100]]]",C:\Users\User\PycharmProjects\detectionAndSegmentation\475_file_train\images\train/000107.jpg,1
"[[[ 70  84 112]
  [ 71  85 113]
  [ 69  83 111]
  ...
  [ 80  80  94]
  [ 84  84  98]
  [ 88  88 102]]

 [[ 76  90 118]
  [ 77  91 119]
  [ 76  90 118]
  ...
  [ 86  86 100]
  [ 89  89 103]
  [ 92  92 106]]

 [[ 69  83 111]
  [ 71  85 113]
  [ 71  85 113]
  ...
  [ 80  80  94]
  [ 82  82  96]
  [ 85  85  99]]

 ...

 [[ 94 105 135]
  [112 123 153]
  [105 116 146]
  ...
  [172 174 184]
  [177 179 189]
  [196 198 208]]

 [[153 164 194]
  [148 159 189]
  [110 121 151]
  ...
  [158 160 170]
  [179 181 191]
  [205 207 217]]

 [[117 128 158]
  [119 130 160]
  [ 93 104 134]
  ...
  [152 154 164]
  [182 184 194]
  [208 210 220]]]",C:\Users\User\PycharmProjects\detectionAndSegmentation\475_file_train\images\train/000112.jpg,0
"[[[ 3  8 47]
  [ 3  8 47]
  [ 3  8 47]
  ...
  [ 6  3 52]
  [ 2  0 40]
  [ 4  1 40]]

 [[ 4  9 48]
  [ 4  9 48]
  [ 4  9 48]
  ...
  [ 6  3 52]
  [ 2  0 39]
  [ 4  2 38]]

 [[ 6 11 50]
  [ 6 11 50]
  [ 6 11 50]
  ...
  [ 5  3 49]
  [ 1  0 37]
  [ 5  4 38]]

 ...

 [[ 5  3 23]
  [ 5  3 23]
  [ 5  3 23]
  ...
  [12  8  7]
  [12  8  7]
  [12  8  7]]

 [[ 5  3 23]
  [ 5  3 23]
  [ 5  3 23]
  ...
  [11  7  6]
  [11  7  6]
  [10  6  5]]

 [[ 7  2 23]
  [ 7  2 23]
  [ 7  2 23]
  ...
  [ 9  4  5]
  [ 9  4  5]
  [ 8  3  4]]]",C:\Users\User\PycharmProjects\detectionAndSegmentation\475_file_train\images\train/000114.jpg,0
"[[[103 116 130]
  [104 117 131]
  [104 117 131]
  ...
  [162 167 166]
  [162 167 166]
  [162 167 166]]

 [[103 116 130]
  [103 116 130]
  [104 117 131]
  ...
  [162 167 166]
  [162 167 166]
  [162 167 166]]

 [[103 116 130]
  [103 116 130]
  [104 117 131]
  ...
  [162 167 166]
  [162 167 166]
  [162 167 166]]

 ...

 [[124 130 135]
  [124 130 135]
  [124 130 135]
  ...
  [ 68  72  77]
  [ 67  71  76]
  [ 65  69  74]]

 [[124 130 135]
  [124 130 135]
  [124 130 135]
  ...
  [ 67  71  76]
  [ 66  70  75]
  [ 64  68  73]]

 [[124 130 135]
  [124 130 135]
  [124 130 135]
  ...
  [ 66  70  75]
  [ 64  68  73]
  [ 63  67  72]]]",C:\Users\User\PycharmProjects\detectionAndSegmentation\475_file_train\images\train/000116.jpg,0
"[[[ 24  20  15]
  [ 25  21  16]
  [ 27  23  18]
  ...
  [113 113  65]
  [111 109  61]
  [ 99  98  48]]

 [[ 24  20  15]
  [ 25  21  16]
  [ 27  23  18]
  ...
  [130 133  84]
  [118 121  72]
  [106 109  59]]

 [[ 23  19  14]
  [ 24  20  15]
  [ 26  22  17]
  ...
  [149 158 108]
  [130 139  89]
  [113 122  71]]

 ...

 [[ 65 196 123]
  [ 71 202 129]
  [ 73 204 131]
  ...
  [216 202 179]
  [216 202 179]
  [216 202 179]]

 [[ 59 187 115]
  [ 65 193 121]
  [ 71 199 127]
  ...
  [215 201 178]
  [215 201 178]
  [215 201 178]]

 [[ 64 192 120]
  [ 68 196 124]
  [ 77 203 131]
  ...
  [214 200 177]
  [214 200 177]
  [214 200 177]]]",C:\Users\User\PycharmProjects\detectionAndSegmentation\475_file_train\images\train/000121.jpg,1
